Nid,ID
Original ID,String
Name,String
Project acronym,String
Visual,Url
Project description,String
Results,String
Coordinators,String
Partners,StringArraySemicolonSeparated
Project address(es),StringArrayCommaSeparated
Project postal code(s),StringArraySemicolonSeparated
Project town(s),StringArraySemicolonSeparated
Project country(ies),StringArraySemicolonSeparated
Project location latitude,FloatArraySemicolonSeparated
Project location longitude,FloatArraySemicolonSeparated
Link to a video,Url
Timeframe start,String
Timeframe end,String
Project webpage,Url
Related links,UrlArraySemicolonSeparated
EU Budget MFF heading,String
Programme name,String
Funding area,StringArraySemicolonSeparated
ECâ€™s priorities,StringArraySemicolonSeparated
EU Budget contribution,Currency
Total project budget,Currency
Author,String
Language,String
Country,String
NUTS1_ID,String
NUTS2_ID,String
NUTS2_name,String
Fund,String
Year,String
Programming_Period,String
EU_Payment_annual,String
Modelled_annual_expenditure,String
Standard_Deviation_of_annual_expenditure,String
Standard_Error_of_modelled_annual_expenditure,String
